procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 56086544  81696 3296432    0    0     0     0 12323 2893 22  7 70  0  0 2021-07-25 04:21:14
 2  0      0 56075504  81696 3296432    0    0     0     0 12769 2968 23  7 69  0  0 2021-07-25 04:21:15
 1  0      0 56078472  81696 3296436    0    0     0     0 12858 3239 25  5 70  0  0 2021-07-25 04:21:16
 2  0      0 56078472  81696 3296436    0    0     0     0 11129 2865 20  7 72  0  0 2021-07-25 04:21:17
 2  0      0 56075020  81700 3296432    0    0     0 91428 17163 3096 24  9 66  1  0 2021-07-25 04:21:18
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 56077928  81700 3296444    0    0     0     0 13339 2446 31  7 62  0  0 2021-07-25 04:21:19
 2  0      0 56077920  81700 3296444    0    0     0     0 13032 2525 26  8 65  0  0 2021-07-25 04:21:20
 2  0      0 56078096  81700 3296444    0    0     0     0 12364 1945 22 10 68  0  0 2021-07-25 04:21:21
 2  0      0 56046128  81700 3296444    0    0     0     0 11754 1972 27  8 65  0  0 2021-07-25 04:21:22
 2  0      0 56048688  81700 3296444    0    0     0     0 11706 2813 25  8 68  0  0 2021-07-25 04:21:23
 2  0      0 56048648  81700 3296444    0    0     0     0 12046 2677 24  7 69  0  0 2021-07-25 04:21:24
 2  0      0 56047288  81700 3296444    0    0     0     0 12037 2211 28  9 64  0  0 2021-07-25 04:21:25
 2  0      0 56048676  81700 3296444    0    0     0     0 8620 1362 22  7 70  0  0 2021-07-25 04:21:26
 2  0      0 56071920  81708 3296444    0    0     0    60 9269 1982 20  8 71  0  0 2021-07-25 04:21:27
 2  0      0 56072252  81708 3296444    0    0     0     0 4701 1970 34  6 61  0  0 2021-07-25 04:21:28
 5  0      0 56070992  81708 3296444    0    0     0     8 4537 1798 32  5 62  0  0 2021-07-25 04:21:29
 2  0      0 56070740  81708 3296444    0    0     0     0 4574 1833 33  6 61  0  0 2021-07-25 04:21:30
 2  0      0 55973040  81708 3378256    0    0     0     0 4063 1385 24  8 68  0  0 2021-07-25 04:21:31
 2  0      0 55961080  81708 3390420    0    0     0     0 10124 2088 26  9 65  0  0 2021-07-25 04:21:32
 1  0      0 55960388  81708 3390420    0    0     0     0 14507 2475 24  7 68  0  0 2021-07-25 04:21:33
 1  0      0 55989004  81708 3390420    0    0     0     0 9960 3147 21  8 71  0  0 2021-07-25 04:21:34
 2  0      0 55963136  81708 3390420    0    0     0     0 9045 1792 23  8 69  0  0 2021-07-25 04:21:35
 2  0      0 55948644  81708 3390420    0    0     0     0 12145 2324 24  8 68  0  0 2021-07-25 04:21:36
 3  0      0 55988396  81708 3390420    0    0     0     0 9451 2074 24  8 68  0  0 2021-07-25 04:21:37
 5  0      0 55988256  81708 3390420    0    0     0     0 14859 2549 23 10 67  0  0 2021-07-25 04:21:38
 2  0      0 55955396  81708 3390420    0    0     0     4 9325 1672 24  8 69  0  0 2021-07-25 04:21:39
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 5  0      0 55955432  81708 3390420    0    0     0     0 9444 2083 27  7 66  0  0 2021-07-25 04:21:40
 2  0      0 55955604  81708 3390420    0    0     0     0 12079 2133 24  9 67  0  0 2021-07-25 04:21:41
 2  0      0 55984216  81708 3390420    0    0     0     0 12355 1915 24  9 67  0  0 2021-07-25 04:21:42
 2  0      0 55977244  81708 3390420    0    0     0     0 10612 2213 27  8 65  0  0 2021-07-25 04:21:43
 2  0      0 55969008  81708 3390420    0    0     0 91424 13316 2955 23  9 67  0  0 2021-07-25 04:21:44
 2  0      0 55968512  81708 3390420    0    0     0     0 11398 1852 23  9 68  0  0 2021-07-25 04:21:45
 2  0      0 55968856  81708 3390420    0    0     0     0 14035 2873 23 10 68  0  0 2021-07-25 04:21:46
 1  0      0 55969096  81708 3390420    0    0     0     0 15612 2239 24  9 67  0  0 2021-07-25 04:21:47
 5  0      0 56005144  81708 3390420    0    0     0     0 10353 2310 25  8 68  0  0 2021-07-25 04:21:48
 2  0      0 55979380  81708 3390420    0    0     0     0 12459 2419 26  9 65  0  0 2021-07-25 04:21:49
 2  0      0 55977064  81708 3390420    0    0     0     0 8684 3048 28  7 66  0  0 2021-07-25 04:21:50
 4  0      0 55975552  81708 3390424    0    0     0     0 4704 1996 33  6 61  0  0 2021-07-25 04:21:51
 5  0      0 55975300  81708 3390424    0    0     0     0 4732 1960 34  6 60  0  0 2021-07-25 04:21:52
 5  0      0 55960432  81708 3390424    0    0     0     0 4151 1452 27  7 66  0  0 2021-07-25 04:21:53
 2  0      0 55862908  81708 3484400    0    0     0     0 8788 2550 30  8 63  0  0 2021-07-25 04:21:54
 2  0      0 55865756  81708 3484400    0    0     0     0 10087 2293 27  8 64  0  0 2021-07-25 04:21:55
 6  0      0 55866372  81708 3484400    0    0     0     0 9509 2480 27  8 65  0  0 2021-07-25 04:21:56
 5  0      0 55894832  81708 3484400    0    0     0     0 7338 1837 23  8 69  0  0 2021-07-25 04:21:57
 2  0      0 55892408  81716 3484404    0    0     0    52 9392 2598 29  7 64  0  0 2021-07-25 04:21:58
 2  0      0 55892424  81716 3484404    0    0     0     0 7290 1937 23  9 68  0  0 2021-07-25 04:21:59
 1  0      0 55895532  81716 3484404    0    0     0    68 7486 1869 23  8 68  0  0 2021-07-25 04:22:00
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 55885104  81716 3484404    0    0     0     0 12289 2698 22  8 69  0  0 2021-07-25 04:22:01
 2  0      0 55885216  81716 3484404    0    0     0     0 9925 1958 24 10 66  0  0 2021-07-25 04:22:02
 2  0      0 55881876  81716 3484404    0    0     0     0 11237 1901 22  9 68  0  0 2021-07-25 04:22:03
 4  0      0 55882032  81716 3484404    0    0     0     0 17053 2541 26  8 65  0  0 2021-07-25 04:22:04
 2  0      0 55879012  81720 3484412    0    0     4 91424 11677 3188 27  8 65  1  0 2021-07-25 04:22:05
 1  0      0 55869684  81720 3484412    0    0     0     0 10551 2902 26  8 66  0  0 2021-07-25 04:22:06
 5  0      0 55892828  81720 3484412    0    0     0     0 11720 2059 25  8 67  0  0 2021-07-25 04:22:07
 2  0      0 55879812  81720 3484412    0    0     0     0 11548 2942 25  6 70  0  0 2021-07-25 04:22:08
 2  0      0 55878756  81720 3484412    0    0     0     0 18161 2592 23  8 69  0  0 2021-07-25 04:22:09
 2  0      0 55855580  81720 3484412    0    0     0     0 12430 2439 25  7 68  0  0 2021-07-25 04:22:10
 2  0      0 55855500  81720 3484416    0    0     0     0 15908 2240 26  8 65  0  0 2021-07-25 04:22:11
 2  0      0 55855280  81720 3484416    0    0     0     0 6959 1923 33  6 61  0  0 2021-07-25 04:22:12
 5  0      0 55882748  81720 3484416    0    0     0     0 4669 1862 34  6 60  0  0 2021-07-25 04:22:13
 2  0      0 55882748  81720 3484416    0    0     0     0 4619 1840 34  6 60  0  0 2021-07-25 04:22:14
 4  0      0 55772920  81720 3578160    0    0     0     0 4144 1447 25  7 68  0  0 2021-07-25 04:22:15
 2  0      0 55773292  81720 3578392    0    0     0     0 11796 2252 27  7 66  0  0 2021-07-25 04:22:16
